,B19013B_001E,B19013_001E,NAME,congressional district,state
263,61696.0,60158.0,"Congressional District 6 (115th Congress), New York",06,36
264,34857.0,49581.0,"Congressional District 7 (115th Congress), New York",07,36
265,43735.0,47048.0,"Congressional District 8 (115th Congress), New York",08,36
266,41691.0,50825.0,"Congressional District 9 (115th Congress), New York",09,36
267,44487.0,81814.0,"Congressional District 10 (115th Congress), New York",10,36
268,45158.0,66890.0,"Congressional District 11 (115th Congress), New York",11,36
269,37569.0,93559.0,"Congressional District 12 (115th Congress), New York",12,36
270,33591.0,37263.0,"Congressional District 13 (115th Congress), New York",13,36
271,52201.0,52427.0,"Congressional District 14 (115th Congress), New York",14,36
272,29579.0,26096.0,"Congressional District 15 (115th Congress), New York",15,36
273,52043.0,66153.0,"Congressional District 16 (115th Congress), New York",16,36
274,69029.0,91734.0,"Congressional District 17 (115th Congress), New York",17,36
275,55307.0,79539.0,"Congressional District 18 (115th Congress), New York",18,36
276,37919.0,58698.0,"Congressional District 19 (115th Congress), New York",19,36
277,31317.0,62112.0,"Congressional District 20 (115th Congress), New York",20,36
278,46743.0,51976.0,"Congressional District 21 (115th Congress), New York",21,36
279,25678.0,50059.0,"Congressional District 22 (115th Congress), New York",22,36
280,25213.0,47916.0,"Congressional District 23 (115th Congress), New York",23,36
281,28741.0,53930.0,"Congressional District 24 (115th Congress), New York",24,36
282,28487.0,53060.0,"Congressional District 25 (115th Congress), New York",25,36
283,26503.0,45640.0,"Congressional District 26 (115th Congress), New York",26,36
284,35371.0,61359.0,"Congressional District 27 (115th Congress), New York",27,36
285,30454.0,40587.0,"Congressional District 1 (115th Congress), North Carolina",01,37
286,40521.0,61538.0,"Congressional District 2 (115th Congress), North Carolina",02,37
287,31930.0,46916.0,"Congressional District 3 (115th Congress), North Carolina",03,37
288,44700.0,64252.0,"Congressional District 4 (115th Congress), North Carolina",04,37
289,30749.0,42087.0,"Congressional District 5 (115th Congress), North Carolina",05,37
290,32523.0,45391.0,"Congressional District 6 (115th Congress), North Carolina",06,37
291,27615.0,44413.0,"Congressional District 7 (115th Congress), North Carolina",07,37
292,37074.0,48643.0,"Congressional District 8 (115th Congress), North Carolina",08,37
293,31104.0,53630.0,"Congressional District 9 (115th Congress), North Carolina",09,37
294,28448.0,43877.0,"Congressional District 10 (115th Congress), North Carolina",10,37
295,27188.0,41913.0,"Congressional District 11 (115th Congress), North Carolina",11,37
296,40044.0,53409.0,"Congressional District 12 (115th Congress), North Carolina",12,37
297,32107.0,46792.0,"Congressional District 13 (115th Congress), North Carolina",13,37
